result_type,variable,term,df,R Sum Sq,R Mean Sq,Iter,Pr(Prob)
anova_df,total.mass,gene,5,0.0013284062214388157,2.656812442877631e-4,1552,0.5579896907216495
anova_df,total.mass,treatment1st,1,7.892151539372641e-4,7.892151539372641e-4,154,0.3961038961038961
anova_df,total.mass,gene:treatment1st,5,0.003344367165028973,6.688734330057946e-4,5000,0.162
anova_df,total.mass,Residuals,134,0.06026864143732561,4.497659808755643e-4,NA,NA
anova_df,total.leaf.mass,gene,5,1.8282865763098998e-4,3.6565731526197995e-5,1048,0.08778625954198473
anova_df,total.leaf.mass,treatment1st,1,1.040500401819039e-4,1.040500401819039e-4,2428,0.039950576606260293
anova_df,total.leaf.mass,gene:treatment1st,5,1.199313148082326e-4,2.398626296164652e-5,829,0.33172496984318456
anova_df,total.leaf.mass,Residuals,134,0.002928310855875722,2.185306608862479e-5,NA,NA
anova_df,stem.mass,gene,5,5.262231579117952e-4,1.0524463158235904e-4,1522,0.5525624178712221
anova_df,stem.mass,treatment1st,1,8.416644204201912e-4,8.416644204201912e-4,3021,0.03210857332009268
anova_df,stem.mass,gene:treatment1st,5,7.669856680354489e-4,1.5339713360708977e-4,5000,0.4856
anova_df,stem.mass,Residuals,134,0.024780436905494502,1.8492863362309329e-4,NA,NA
anova_df,petiole.mass,gene,5,1.7072983520441838e-5,3.4145967040883678e-6,3811,0.08003148779847809
anova_df,petiole.mass,treatment1st,1,2.4399831026993763e-6,2.4399831026993763e-6,514,0.16342412451361868
anova_df,petiole.mass,gene:treatment1st,5,1.2635480585964924e-5,2.5270961171929847e-6,1737,0.38341968911917096
anova_df,petiole.mass,Residuals,134,2.874634781135531e-4,2.1452498366683066e-6,NA,NA
anova_df,root.mass,gene,5,3.9075009776853533e-4,7.815001955370707e-5,1476,0.06368563685636856
anova_df,root.mass,treatment1st,1,1.1759356806366135e-4,1.1759356806366135e-4,1089,0.0844811753902663
anova_df,root.mass,gene:treatment1st,5,5.337702329206963e-4,1.0675404658413927e-4,5000,0.0578
anova_df,root.mass,Residuals,134,0.00582264479441392,4.34525730926412e-5,NA,NA
anova_df,no.ramets,gene,5,12.621051622015063,2.5242103244030125,890,0.3539325842696629
anova_df,no.ramets,treatment1st,1,14.403067370801047,14.403067370801047,51,0.7254901960784313
anova_df,no.ramets,gene:treatment1st,5,13.385494708917715,2.677098941783543,5000,0.4204
anova_df,no.ramets,Residuals,134,366.7617216117216,2.737027773221803,NA,NA
anova_df,no.leaves,gene,5,25.207969065342414,5.0415938130684825,5000,0.0088
anova_df,no.leaves,treatment1st,1,0.48553391151713693,0.48553391151713693,51,1
anova_df,no.leaves,gene:treatment1st,5,10.516716150208586,2.103343230041717,891,0.4444444444444444
anova_df,no.leaves,Residuals,134,230.41721611721604,1.7195314635613137,NA,NA
anova_df,stem.length,gene,5,96.53863715317091,19.30772743063418,2136,0.24672284644194756
anova_df,stem.length,treatment1st,1,25.63746562267664,25.63746562267664,542,0.15682656826568267
anova_df,stem.length,gene:treatment1st,5,59.10003500429903,11.820007000859807,1554,0.5495495495495496
anova_df,stem.length,Residuals,134,2544.480483956043,18.98866032803017,NA,NA
anova_df,total.leaf.area,gene,5,89.94771359331399,17.989542718662797,4963,0.03929075156155551
anova_df,total.leaf.area,treatment1st,1,24.465054810559906,24.465054810559906,1136,0.08098591549295775
anova_df,total.leaf.area,gene:treatment1st,5,57.89835112418866,11.57967022483773,935,0.32941176470588235
anova_df,total.leaf.area,Residuals,134,1126.2883362871225,8.405136837963601,NA,NA
anova_df,mla,gene,5,16.10899924852236,3.221799849704472,5000,0
anova_df,mla,treatment1st,1,1.9361615052384946,1.9361615052384946,2332,0.0411663807890223
anova_df,mla,gene:treatment1st,5,2.9082819265958753,0.5816563853191751,761,0.469119579500657
anova_df,mla,Residuals,134,69.7764552371728,0.5207198152027821,NA,NA
anova_df,sla,gene,5,46611351.49376225,9322270.29875245,5000,0.0048
anova_df,sla,treatment1st,1,14782179.890687529,14782179.890687529,5000,0.0108
anova_df,sla,gene:treatment1st,5,62962540.691453524,12592508.138290705,5000,0
anova_df,sla,Residuals,134,395180928.6651302,2949111.407948733,NA,NA
anova_df,ratio,gene,5,0.9006795994720845,0.1801359198944169,5000,0.0516
anova_df,ratio,treatment1st,1,0.08709388468055634,0.08709388468055634,51,0.9019607843137255
anova_df,ratio,gene:treatment1st,5,0.52431346895034725,0.10486269379006945,5000,0.1514
anova_df,ratio,Residuals,134,10.017481956607636,0.07475732803438534,NA,NA
