variable,treatment,group,group_letter
total.mass,Control,G1,a
total.mass,Control,G2,a
total.mass,Control,G3,a
total.mass,Control,G4,a
total.mass,Control,G5,a
total.mass,Control,G6,a
total.mass,Herbivory,G1,a
total.mass,Herbivory,G2,b
total.mass,Herbivory,G3,ab
total.mass,Herbivory,G4,ab
total.mass,Herbivory,G5,b
total.mass,Herbivory,G6,ab
total.leaf.mass,Control,G1,a
total.leaf.mass,Control,G2,a
total.leaf.mass,Control,G3,a
total.leaf.mass,Control,G4,a
total.leaf.mass,Control,G5,a
total.leaf.mass,Control,G6,a
total.leaf.mass,Herbivory,G1,a
total.leaf.mass,Herbivory,G2,ab
total.leaf.mass,Herbivory,G3,ab
total.leaf.mass,Herbivory,G4,b
total.leaf.mass,Herbivory,G5,ab
total.leaf.mass,Herbivory,G6,ab
stem.mass,Control,G1,a
stem.mass,Control,G2,a
stem.mass,Control,G3,a
stem.mass,Control,G4,a
stem.mass,Control,G5,a
stem.mass,Control,G6,a
stem.mass,Herbivory,G1,a
stem.mass,Herbivory,G2,b
stem.mass,Herbivory,G3,ab
stem.mass,Herbivory,G4,ab
stem.mass,Herbivory,G5,b
stem.mass,Herbivory,G6,ab
petiole.mass,Control,G1,a
petiole.mass,Control,G2,ab
petiole.mass,Control,G3,b
petiole.mass,Control,G4,ab
petiole.mass,Control,G5,ab
petiole.mass,Control,G6,ab
petiole.mass,Herbivory,G1,a
petiole.mass,Herbivory,G2,ab
petiole.mass,Herbivory,G3,b
petiole.mass,Herbivory,G4,ab
petiole.mass,Herbivory,G5,ab
petiole.mass,Herbivory,G6,ab
root.mass,Control,G1,a
root.mass,Control,G2,a
root.mass,Control,G3,a
root.mass,Control,G4,a
root.mass,Control,G5,a
root.mass,Control,G6,a
root.mass,Herbivory,G1,a
root.mass,Herbivory,G2,b
root.mass,Herbivory,G3,ab
root.mass,Herbivory,G4,b
root.mass,Herbivory,G5,b
root.mass,Herbivory,G6,ab
no.ramets,Control,G1,a
no.ramets,Control,G2,a
no.ramets,Control,G3,a
no.ramets,Control,G4,a
no.ramets,Control,G5,a
no.ramets,Control,G6,a
no.ramets,Herbivory,G1,a
no.ramets,Herbivory,G2,ab
no.ramets,Herbivory,G3,ab
no.ramets,Herbivory,G4,b
no.ramets,Herbivory,G5,ab
no.ramets,Herbivory,G6,ab
no.leaves,Control,G1,a
no.leaves,Control,G2,a
no.leaves,Control,G3,a
no.leaves,Control,G4,a
no.leaves,Control,G5,a
no.leaves,Control,G6,a
no.leaves,Herbivory,G1,a
no.leaves,Herbivory,G2,ab
no.leaves,Herbivory,G3,b
no.leaves,Herbivory,G4,b
no.leaves,Herbivory,G5,ab
no.leaves,Herbivory,G6,ab
stem.length,Control,G1,a
stem.length,Control,G2,a
stem.length,Control,G3,a
stem.length,Control,G4,a
stem.length,Control,G5,a
stem.length,Control,G6,a
stem.length,Herbivory,G1,a
stem.length,Herbivory,G2,ab
stem.length,Herbivory,G3,ab
stem.length,Herbivory,G4,ab
stem.length,Herbivory,G5,b
stem.length,Herbivory,G6,ab
total.leaf.area,Control,G1,a
total.leaf.area,Control,G2,a
total.leaf.area,Control,G3,a
total.leaf.area,Control,G4,a
total.leaf.area,Control,G5,a
total.leaf.area,Control,G6,a
total.leaf.area,Herbivory,G1,a
total.leaf.area,Herbivory,G2,ab
total.leaf.area,Herbivory,G3,b
total.leaf.area,Herbivory,G4,b
total.leaf.area,Herbivory,G5,ab
total.leaf.area,Herbivory,G6,ab
mla,Control,G1,a
mla,Control,G2,ab
mla,Control,G3,ab
mla,Control,G4,b
mla,Control,G5,ab
mla,Control,G6,ab
mla,Herbivory,G1,a
mla,Herbivory,G2,ab
mla,Herbivory,G3,b
mla,Herbivory,G4,ab
mla,Herbivory,G5,ab
mla,Herbivory,G6,ab
sla,Control,G1,a
sla,Control,G2,a
sla,Control,G3,a
sla,Control,G4,a
sla,Control,G5,a
sla,Control,G6,a
sla,Herbivory,G1,a
sla,Herbivory,G2,ab
sla,Herbivory,G3,ab
sla,Herbivory,G4,b
sla,Herbivory,G5,ab
sla,Herbivory,G6,ab
ratio,Control,G1,a
ratio,Control,G2,ab
ratio,Control,G3,ab
ratio,Control,G4,b
ratio,Control,G5,ab
ratio,Control,G6,ab
ratio,Herbivory,G1,a
ratio,Herbivory,G2,a
ratio,Herbivory,G3,a
ratio,Herbivory,G4,a
ratio,Herbivory,G5,a
ratio,Herbivory,G6,a
